Algorithm,Metadata,Rundata,Pulls
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":451.953,\"Optimal Mean\":0.883076}",108471
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":58.0407,\"Optimal Mean\":0.931758}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":188.413,\"Optimal Mean\":0.877951}",142800
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":1007.87,\"Optimal Mean\":0.855125}",357832
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":217.096,\"Optimal Mean\":0.94261}",108471
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":461.486,\"Optimal Mean\":0.810919}",142800
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":37.6777,\"Optimal Mean\":0.938078}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":4983.31,\"Optimal Mean\":0.979432}",2125210
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":891.67,\"Optimal Mean\":0.95053}",196847
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":58.8831,\"Optimal Mean\":0.927774}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":1098.77,\"Optimal Mean\":0.935453}",231176
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":798.869,\"Optimal Mean\":0.919445}",196847
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":2265.36,\"Optimal Mean\":0.840287}",583942
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":651.704,\"Optimal Mean\":0.988805}",231176
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":501.001,\"Optimal Mean\":0.934832}",196847
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":340.097,\"Optimal Mean\":0.998285}",108471
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":1803.73,\"Optimal Mean\":0.986869}",710598
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":377.344,\"Optimal Mean\":0.977755}",196847
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":1752.83,\"Optimal Mean\":0.794759}",549613
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":426.119,\"Optimal Mean\":0.821534}",196847
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":57.5336,\"Optimal Mean\":0.817169}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":57.3579,\"Optimal Mean\":0.95566}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":425.05,\"Optimal Mean\":0.982267}",196847
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":1017.51,\"Optimal Mean\":0.922105}",357832
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":455.947,\"Optimal Mean\":0.941125}",142800
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":69.4643,\"Optimal Mean\":0.83585}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":74.0139,\"Optimal Mean\":0.993371}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":44.3423,\"Optimal Mean\":0.952927}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":2723.88,\"Optimal Mean\":0.779295}",595167
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":339.425,\"Optimal Mean\":0.76074}",108471
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":901.845,\"Optimal Mean\":0.856578}",231176
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":190.299,\"Optimal Mean\":0.881239}",108471
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":3530.41,\"Optimal Mean\":0.767305}",583942
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":495.021,\"Optimal Mean\":0.977009}",196847
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":95.8612,\"Optimal Mean\":0.931399}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":6437.47,\"Optimal Mean\":0.956596}",1998554
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":29.1668,\"Optimal Mean\":0.988244}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":483.981,\"Optimal Mean\":0.863039}",231176
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":820.785,\"Optimal Mean\":0.906798}",231176
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":1001.1,\"Optimal Mean\":0.965516}",242401
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":172.464,\"Optimal Mean\":0.967067}",108471
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":37.5907,\"Optimal Mean\":0.981895}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":469.196,\"Optimal Mean\":0.969854}",231176
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":8211.7,\"Optimal Mean\":0.747798}",1998554
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":2058.61,\"Optimal Mean\":0.880665}",549613
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":2703.94,\"Optimal Mean\":0.983929}",766011
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":630.293,\"Optimal Mean\":0.900019}",231176
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":29.7874,\"Optimal Mean\":0.837507}",86021
"Exponential Gap Elimination","{\"Confidence\":0.2,\"Arms\":10}","{\"Regret\":0,\"H1\":512.401,\"Optimal Mean\":0.96295}",196847
